open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-10-27,100.02,103.1,98.16,99.39,661778.678,2025-10-27 23:59:59.999,66675877.79171,362798,352063.889,35495597.78896,0
2025-10-28,99.4,106.98,95.33,96.65,1136067.546,2025-10-28 23:59:59.999,114603912.51196,522047,545202.873,55093639.49019,0
2025-10-29,96.64,100.75,95.79,98.53,636748.194,2025-10-29 23:59:59.999,62641920.74439,378754,300289.006,29535189.08712,0
2025-10-30,98.53,99.76,90.37,93.39,689290.89,2025-10-30 23:59:59.999,65199061.07165,441680,321238.142,30396001.57545,0
2025-10-31,93.38,96.3,92.98,95.38,367029.123,2025-10-31 23:59:59.999,34770064.0359,266643,193582.271,18337243.74057,0
2025-11-01,95.38,104.0,95.03,101.38,586785.41,2025-11-01 23:59:59.999,57960672.66589,316531,320322.875,31656309.3614,0
2025-11-02,101.39,101.54,97.5,99.42,466122.873,2025-11-02 23:59:59.999,46450998.43029,297940,225349.191,22472749.94583,0
2025-11-03,99.42,99.79,85.35,87.43,1032684.313,2025-11-03 23:59:59.999,93897252.52432,576617,469276.446,42617361.91133,0
2025-11-04,87.42,91.2,79.68,85.21,1131742.898,2025-11-04 23:59:59.999,97008761.44934,725609,550828.185,47222698.87134,0
2025-11-05,85.2,89.97,82.01,89.39,597946.693,2025-11-05 23:59:59.999,51870439.2031,377912,312334.699,27091150.5454,0
2025-11-06,89.39,89.39,85.3,87.0,495999.412,2025-11-06 23:59:59.999,43328487.50824,346249,233514.082,20399369.28464,0
2025-11-07,87.01,104.85,85.95,101.87,1639946.774,2025-11-07 23:59:59.999,158896573.06141,935703,852569.839,82899139.82702,0
2025-11-08,101.88,107.64,98.02,106.95,1089634.77,2025-11-08 23:59:59.999,109915555.60853,653951,567913.699,57376298.63456,0
2025-11-09,106.95,113.71,98.8,110.31,1966394.492,2025-11-09 23:59:59.999,208206296.86181,1357935,978840.263,103776709.00915,0
2025-11-10,110.3,112.3,103.4,104.25,1071811.879,2025-11-10 23:59:59.999,115435657.64392,675150,527763.301,56905273.37952,0
2025-11-11,104.24,106.99,99.02,99.68,931687.212,2025-11-11 23:59:59.999,95135425.90726,627576,414497.849,42364610.98757,0
2025-11-12,99.69,104.32,94.86,97.59,1173355.162,2025-11-12 23:59:59.999,116011443.35986,941763,575571.573,57009390.94078,0
2025-11-13,97.6,102.75,93.58,96.55,982130.246,2025-11-13 23:59:59.999,96787271.43245,768601,476007.038,46885458.87706,0
2025-11-14,96.54,100.2,93.22,97.7,1072144.18,2025-11-14 23:59:59.999,103613517.89676,871466,542080.056,52432180.92687,0
2025-11-15,97.69,109.59,97.57,101.71,1089472.087,2025-11-15 23:59:59.999,113509856.28635,871178,577154.361,60135007.3085,0
2025-11-16,101.72,103.38,94.15,95.79,723048.093,2025-11-16 23:59:59.999,71412322.06813,689646,330393.119,32661676.97592,0
2025-11-17,95.79,97.94,90.57,91.24,729231.572,2025-11-17 23:59:59.999,69104964.17285,625148,351815.0,33376420.82706,0
2025-11-18,91.25,97.55,90.43,95.66,727888.918,2025-11-18 23:59:59.999,68867637.22853,554388,370858.115,35126165.31914,0
2025-11-19,95.66,95.99,88.86,92.9,603273.923,2025-11-19 23:59:59.999,55753487.36202,489245,281075.161,25990074.72028,0
2025-11-20,92.9,93.82,86.01,87.24,616052.902,2025-11-20 23:59:59.999,55299214.60034,553975,298359.643,26761481.10728,0
2025-11-21,87.23,88.67,80.01,82.64,1109079.314,2025-11-21 23:59:59.999,92702678.73503,746727,538111.188,44981683.44308,0
2025-11-22,82.64,83.9,80.82,82.12,390908.66,2025-11-22 23:59:59.999,32153014.54865,303007,203591.611,16750237.24568,0
2025-11-23,82.11,84.45,81.85,83.09,403125.549,2025-11-23 23:59:59.999,33644306.7224,278282,211264.66,17632462.45076,0
2025-11-24,83.09,87.25,82.19,85.46,507041.997,2025-11-24 23:59:59.999,42870518.82741,320972,249439.605,21096934.50383,0
2025-11-25,85.46,86.76,83.08,85.3,501467.245,2025-11-25 23:59:59.999,42553006.4257,302088,255552.115,21689567.58944,0
2025-11-26,85.29,87.72,83.28,86.87,397790.638,2025-11-26 23:59:59.999,33954768.68655,242527,208306.772,17786627.21312,0
2025-11-27,86.85,87.8,85.97,86.59,271246.188,2025-11-27 23:59:59.999,23546903.50618,200246,133192.964,11566149.94752,0
2025-11-28,86.59,86.77,83.13,84.22,366205.629,2025-11-28 23:59:59.999,31161108.37705,260732,158101.726,13453103.91754,0
2025-11-29,84.22,85.73,83.14,83.95,188495.208,2025-11-29 23:59:59.999,15883606.93939,166444,91637.744,7723320.03999,0
2025-11-30,83.95,84.83,82.27,82.38,173562.982,2025-11-30 23:59:59.999,14574310.64248,161944,85983.363,7223205.72364,0
2025-12-01,82.37,82.5,74.66,77.55,768955.214,2025-12-01 23:59:59.999,59761238.56868,474914,380085.222,29525416.47149,0
2025-12-02,77.56,83.31,77.31,82.79,416570.506,2025-12-02 23:59:59.999,33591104.10363,293903,207641.661,16750105.58497,0
2025-12-03,82.8,86.73,82.5,85.83,501837.773,2025-12-03 23:59:59.999,42736375.54558,331783,251966.965,21459301.39266,0
2025-12-04,85.83,86.77,82.16,83.54,457518.638,2025-12-04 23:59:59.999,38611717.12697,328783,209693.316,17697720.72688,0
2025-12-05,83.54,84.13,79.59,80.38,404693.922,2025-12-05 23:59:59.999,33081694.32529,325385,188065.32,15384874.31113,0
2025-12-06,80.39,82.52,79.9,81.68,271214.908,2025-12-06 23:59:59.999,22050455.77511,203621,144921.419,11784152.87033,0
2025-12-07,81.67,83.76,79.88,81.43,278926.302,2025-12-07 23:59:59.999,22798096.87373,271559,136099.55,11128682.22709,0
2025-12-08,81.43,84.49,81.01,83.87,356631.49,2025-12-08 23:59:59.999,29749384.53881,272197,188680.937,15742248.37842,0
2025-12-09,83.87,87.54,82.47,85.82,438493.075,2025-12-09 23:59:59.999,37395806.16569,332657,224722.202,19164037.83549,0
2025-12-10,85.82,87.09,83.74,84.3,343758.859,2025-12-10 23:59:59.999,29212283.93396,287868,155499.901,13213660.70184,0
2025-12-11,84.3,84.59,80.31,82.93,447190.593,2025-12-11 23:59:59.999,36557271.47641,347974,226409.307,18507386.90945,0
2025-12-12,82.93,84.49,80.5,81.95,300466.28,2025-12-12 23:59:59.999,24860580.76464,264158,156832.839,12988597.84016,0
2025-12-13,81.95,82.45,80.77,81.47,150564.427,2025-12-13 23:59:59.999,12308110.81223,125041,73740.971,6026669.36835,0
2025-12-14,81.47,81.99,77.96,78.96,246089.417,2025-12-14 23:59:59.999,19596303.76955,196692,130327.032,10378083.50266,0
2025-12-15,78.96,81.42,75.74,77.51,377024.701,2025-12-15 23:59:59.999,29621794.3707,312246,199697.297,15670140.20369,0
2025-12-16,77.52,79.89,76.44,79.08,398870.126,2025-12-16 23:59:59.999,31273409.08815,273597,208077.608,16312136.96363,0
2025-12-17,79.07,81.04,75.16,76.01,376262.289,2025-12-17 23:59:59.999,29332956.44287,311547,181253.966,14128569.17091,0
2025-12-18,76.01,78.56,72.64,74.29,475331.443,2025-12-18 23:59:59.999,35828259.3723,382878,245476.846,18502094.88872,0
2025-12-19,74.28,78.02,73.56,77.49,362068.467,2025-12-19 23:59:59.999,27568332.26807,287432,198506.456,15115231.4587,0
2025-12-20,77.49,79.41,76.43,77.84,157890.421,2025-12-20 23:59:59.999,12211430.33712,127416,76982.731,5954343.78953,0
2025-12-21,77.84,78.05,75.46,76.79,208349.125,2025-12-21 23:59:59.999,15993013.81049,169708,106223.112,8156597.63254,0
2025-12-22,76.79,79.49,76.35,77.05,307831.718,2025-12-22 23:59:59.999,23942302.47371,252627,165324.829,12857332.21955,0
2025-12-23,77.05,77.96,75.53,77.01,260524.06,2025-12-23 23:59:59.999,20004466.82409,224255,140004.349,10750709.30828,0
2025-12-24,77.01,77.42,75.22,75.79,266137.657,2025-12-24 23:59:59.999,20215629.97507,190176,124284.127,9440892.66621,0
2025-12-25,75.79,77.57,75.36,75.71,204493.057,2025-12-25 23:59:59.999,15648108.78935,158515,102446.218,7840916.91969,0
2025-12-26,75.7,78.0,75.48,76.87,254509.443,2025-12-26 23:59:59.999,19583246.34934,189137,127956.238,9848315.15389,0
2025-12-27,76.87,77.11,76.76,76.85,8141.112,2025-12-27 23:59:59.999,626440.56331,6215,4492.612,345773.31589,0
